S.No,EmpID,Emp Name,DOJ,Designation,Grade,Attrition ,Location,In Active Date,Tenure,Gender,Education,Age,Last Rating,Monthly Income,Engagement Score (% Satisfaction),Marital Status,Zone,Remarks
150,XYZ2837,ABC150,28 Mar 11,Sales Executive,E1,Yes,Rajamundry,5 Aug 12,1. 4 ,Male,Bachelors,25,3,25469,2%,Divorced,South,Issues with the Manager
151,XYZ3110,ABC151,23 Apr 12,Sales Executive,E1,Yes,Rajamundry,7 May 12,0. 0 ,Male,Bachelors,27,4,26842,93%,Single ,South,Absconding
152,XYZ3137,ABC152,21 May 12,Sales Executive,E1,Yes,Cuttack,13 Sep 12,0. 3 ,Male,Bachelors,28,3,26852,8%,Married,East,Issues with the Manager
153,XYZ3139,ABC153,21 May 12,Technical Services Officer,M2,Yes,Indore,31 Aug 12,0. 3 ,Male,MBA,37,2,53488,62%,Single ,CENTRAL,Lack of Growth
154,XYZ3164,ABC154,21 Jun 12,Sales Executive,E1,Yes,Kangra,1 Aug 12,0. 1 ,Male,Bachelors,27,3,25453,96%,Married,North,Better Salary
155,XYZ2881,ABC155,16-May-11,Sales Executive ,E1,Yes,Patiala,21 Sep 12,1. 4 ,Male,Bachelors,25,3,25851,90%,Single ,North,Issues with the Manager
156,XYZ3156,ABC156,11-Jun-12,Sales Executive,E1,Yes,Patiala,21 Sep 12,0. 3 ,Male,Bachelors,27,4,25796,13%,Single ,North,Issues with the Manager
157,XYZ2532,ABC157,15-Jul-10,Sales Executive ,E1,Yes,Dehradun,21 Sep 12,2 .2 ,Male,Bachelors,24,4,25710,16%,Single ,North,Issues with the Manager
158,XYZ3152,ABC158,1-Jun-12,Sales Executive,E1,Yes,Dehradun,7 Sep 12,0. 3 ,Male,Bachelors,24,3,26167,54%,Married,North,Issues with the Manager
159,XYZ2824,ABC159,7-Mar-11,Sales Executive,E1,Yes,Unchahar,22 Sep 12,1. 6 ,Male,Bachelors,25,2,26853,46%,Married,North,Issues with the Manager
160,XYZ2745,ABC160,19-Jan-11,Sales Executive ,E1,Yes,jagatpur,10 Sep 12,1. 7 ,Male,Bachelors,26,4,25225,17%,Single ,North,Issues with the Manager
161,XYZ1349,ABC161,1-Feb-08,Sr Sales Executive,E2,Yes,Velachery,3 Sep 12,4 .7 ,Male,Bachelors,35,3,31035,84%,Married,South,Lack of Growth
162,XYZ3190,ABC162,3-Aug-12,Sales Executive,E1,Yes,Lalpur,3 Aug 12,0. 0 ,Male,Bachelors,27,3,26212,8%,Divorced,East,Lack of Growth
163,XYZ2827,ABC163,18-Mar-11,Sales Executive,E1,Yes,Hanuman nagar,19 Sep 12,1. 6 ,Male,Bachelors,27,2,25524,10%,Single ,East,Issues with the Manager
164,XYZ3041,ABC164,30-Jan-12,Sales Executive,E1,Yes,Kashidih,19 Sep 12,0. 7 ,Male,Bachelors,28,3,26500,64%,Divorced,East,Issues with the Manager
165,XYZ0524,ABC165,15-Dec-05,AM - Sales,M1,Yes,Orissa,7 Oct 12,6 .9 ,Male,Bachelors,31,2,54415,67%,Married,East,Lack of Growth
166,XYZ2584,ABC166,30-Aug-10,Technical Services Officer,M2,Yes,Bhopal Indrapuri,25 Sep 12,2 .0 ,Male,Bachelors,37,3,54396,67%,Single ,CENTRAL,More Challenging Job Roles/ Higher designation
167,XYZ3145,ABC167,25-May-12,Sales Executive,E1,Yes,Jabalpur Alok Nagar,19 Sep 12,0. 3 ,Male,Bachelors,26,4,25232,40%,Divorced,CENTRAL,Issues with the Manager
168,XYZ3099,ABC168,11-Apr-12,Sales Executive,E1,Yes,Allahabad,8 Sep 12,0. 4 ,Male,Bachelors,28,4,25735,75%,Single ,CENTRAL,Termination - Theft
169,XYZ2833,ABC169,28-Mar-11,Technical Services Officer,M2,Yes,Bhavnagar,23 Sep 12,1. 5 ,Male,Bachelors,45,4,52840,91%,Married,West,Lack of Growth
170,XYZ2204,ABC170,28-Oct-09,Sales Executive,E1,Yes,Rajamundry,26 Sep 12,2 .10 ,Male,Bachelors,25,3,26307,23%,Divorced,South,Issues with the Manager
171,XYZ0954,ABC171,1-Jan-07,Sales Executive ,E1,Yes,Rajamundry,26 Sep 12,5 .8 ,Male,Bachelors,27,3,26762,45%,Married,South,Issues with the Manager
172,XYZ2231,ABC172,14-Dec-08,Zonal Manager,M4,Yes,HO,3 Oct 12,3 .9 ,Male,MBA,42,3,75248,90%,Single ,HO,More Challenging Job Roles/ Higher designation
173,XYZ1341,ABC173,1-Mar-08,AM - Sales,M1,Yes,Durg,19 Sep 12,4 .6 ,Male,Bachelors,36,4,52427,2%,Divorced,Central,Lack of Growth
174,XYZ2525,ABC174,21-Jul-10,Sales Executive,E1,Yes,Jhansi,21 Sep 12,2 .2 ,Male,Bachelors,27,4,25670,31%,Married,Central,Issues with the Manager
175,XYZ3075,ABC175,5-Mar-12,Technical Services Officer,M2,Yes,Koyambedu,20 Sep 12,0. 6 ,Male,Bachelors,39,5,53349,64%,Single ,South,Better Salary
176,XYZ3089,ABC176,22-Mar-12,Technical Services Officer,M2,Yes,Velachery,27 Sep 12,0. 6 ,Male,Bachelors,41,4,55757,37%,Married,South,Better Salary
177,XYZ0341,ABC177,15-Oct-06,AM - Sales,M1,Yes,Bangalore,25 Sep 12,5 .11 ,Male,Bachelors,31,3,54413,65%,Divorced,South,Lack of Growth
178,XYZ3100,ABC178,16-Apr-12,AM - Sales,M1,Yes,Kalewadi,18 Sep 12,0. 5 ,Male,Bachelors,30,2,50710,90%,Divorced,West,More Challenging Job Roles/ Higher designation
179,XYZ2832,ABC179,28-Mar-11,Sales Executive,E1,Yes,Bhavnagar,26 Sep 12,1. 5 ,Male,Bachelors,24,4,26010,75%,Single ,West,Issues with the Manager
180,XYZ3052,ABC180,13-Feb-12,Sales Executive,E1,Yes,Behala,17 Sep 12,0. 7 ,Male,Bachelors,24,2,26873,56%,Single ,East,Issues with the Manager
181,XYZ2244,ABC181,26-Nov-09,Sales Executive,E1,Yes,Behala,27 Sep 12,2 .10 ,Male,Bachelors,26,2,26758,39%,Single ,East,Issues with the Manager
182,XYZ2478,ABC182,11-Jun-10,Sales Executive,E1,Yes,Bachrawan,25 Sep 12,2 .3 ,Male,Bachelors,27,3,25888,36%,Single ,North,Better Salary
183,XYZ3080,ABC183,12-Mar-12,Sales Executive,E1,Yes,Patiala,18 Sep 12,0. 6 ,Male,Bachelors,24,4,25063,27%,Single ,North,Issues with the Manager
184,XYZ3069,ABC184,1-Mar-12,AM - Sales,M1,Yes,Haldwani,20 Sep 12,0. 6 ,Male,Bachelors,34,3,50597,94%,Divorced,North,More Challenging Job Roles/ Higher designation
185,XYZ2940,ABC185,11-Jul-11,Sr Sales Executive,E2,Yes,HO,17 Sep 12,1. 2 ,Male,Bachelors,30,4,31766,32%,Single ,HO,Lack of Growth
186,XYZ0665,ABC186,17-Apr-07,Sr Sales Executive ,E2,Yes,Vizag,30 Sep 12,5 .5 ,Male,Bachelors,29,2,31734,31%,Divorced,South,Lack of Growth
187,XYZ1948,ABC187,3-Nov-08,Sales Executive,E1,Yes,Vizag,30 Sep 12,3 .10 ,Male,Bachelors,26,3,25707,81%,Single ,South,Lack of Growth
188,XYZ3091,ABC188,19-Mar-12,Technical Services Officer,M2,Yes,Vizag,30 Aug 12,0. 5 ,Male,Bachelors,43,4,54292,8%,Single ,South,Lack of Growth
189,XYZ3099,ABC189,11-Apr-12,Sales Executive,E1,Yes,Allahabad,8 Sep 12,0. 4 ,Male,Bachelors,28,3,25390,79%,Divorced,Central,Lack of Growth
190,XYZ3130,ABC190,11-May-12,Sales Executive,E1,Yes,Pune,10 Sep 12,0. 3 ,Male,Bachelors,24,4,25738,33%,Single ,West,Lack of Growth
191,XYZ3138,ABC191,21-May-12,Technical Services Officer,M2,Yes,Kolkata,1 Sep 12,0. 3 ,Male,Bachelors,42,4,52341,82%,Divorced,East,Lack of Growth
192,XYZ3197,ABC192,21-Aug-12,Sales Executive,E1,Yes,Hadspar,4 Sep 12,0. 0 ,Male,Bachelors,28,5,25941,56%,Married,West,Lack of Growth
193,XYZ3202,ABC193,21-Aug-12,Sales Executive,E1,Yes,Ahmedabad,19 Sep 12,0. 0 ,Male,Bachelors,25,2,25815,22%,Single ,West,Lack of Growth
194,XYZ3213,ABC194,1-Sep-12,Technical Services Officer,M2,Yes,Kalyan,9 Sep 12,0. 0 ,Male,Bachelors,36,3,56633,36%,Divorced,West,Lack of Growth
195,XYZ3220,ABC195,17-Sep-12,Sales Executive,E1,Yes,Hinoo,21 Sep 12,0. 0 ,Male,Bachelors,25,2,25372,69%,Single ,East,Lack of Growth
196,XYZ3090,ABC196,23-Mar-12,Sales Executive,E1,Yes,Dehradun,22 Sep 12,0. 5 ,Male,Bachelors,24,2,26723,49%,Single ,North,Better Salary
197,XYZ2728,ABC197,22-Dec-10,National Sales Head,CXO,Yes,HO,9 Oct 12,1. 9 ,Male,MBA,54,3,233954,45%,Married,HO,More Challenging Job Roles/ Higher designation
198,XYZ3166,ABC198,21-Jun-12, Sales Executive,E1,Yes,Varanasi,12 Oct 12,0. 3 ,Male,Bachelors,24,5,26558,60%,Divorced,Central,Issues with the Manager
199,XYZ2935,ABC199,24-Jun-11,Sales Executive,E1,Yes,Badarpur,5 Oct 12,1. 3 ,Male,Bachelors,28,5,26911,8%,Single ,North,Lack of Growth
200,XYZ1720,ABC200,24-Jun-08,Sales Executive,E1,Yes,Mukundpur,25 Oct 12,4 .4 ,Male,Bachelors,26,5,25295,35%,Divorced,North,Absconding
201,XYZ3199,ABC201,21-Aug-12,Sales Executive,E1,Yes,Amritsar,4 Oct 12,0. 1 ,Male,Bachelors,28,4,25433,81%,Single ,North,Lack of Growth
202,XYZ3077,ABC202,10-Mar-12,Sales Executive,E1,Yes,Jammu,25 Oct 12,0. 7 ,Male,Bachelors,26,2,25742,63%,Divorced,North,Absconding
203,XYZ2437,ABC203,10-May-10,Sales Executive,E1,Yes,Thallakulam,20 Oct 12,2 .5 ,Male,Bachelors,28,4,26602,55%,Married,South,Better Salary
204,XYZ2189,ABC204,12-Oct-09,Sales Executive,E1,Yes,Vizag,25 Oct 12,3 .0 ,Male,Bachelors,25,4,25964,34%,Married,South,Issues with the Manager
205,XYZ3060,ABC205,22-Feb-12,Sales Executive,E1,Yes,Vizag,3 Nov 12,0. 8 ,Male,Bachelors,27,3,25746,32%,Single ,South,Issues with the Manager
206,XYZ1394,ABC206,14-Sep-08,Sales Executive,E1,Yes,Vizag,20 Oct 12,4 .1 ,Male,Bachelors,26,4,26386,87%,Single ,South,Lack of Growth
207,XYZ3022,ABC207,26-Dec-11,Sales Executive,E1,Yes,Agra,30 Oct 12,0. 10 ,Male,Bachelors,28,5,25587,67%,Divorced,CENTRAL,Higher education
208,XYZ2868,ABC208,10-May-11,Sales Executive ,E1,Yes,Raipur,1 Nov 12,1. 5 ,Male,Bachelors,26,4,25904,25%,Divorced,CENTRAL,Higher education
209,XYZ2791,ABC209,7-Feb-11,Sales Executive,E1,Yes,Indore,25 Oct 12,1. 8 ,Male,Bachelors,28,5,26959,92%,Married,CENTRAL,Lack of Growth
210,XYZ1993,ABC210,1-Dec-08,Sr Sales Executive ,E2,Yes,Vadodara,31 Oct 12,3 .10 ,Male,Bachelors,30,5,31791,22%,Single ,West,Issues with the Manager
211,XYZ2831,ABC211,28-Mar-11,Sales Executive,E1,Yes,Nasik,1 Nov 12,1. 7 ,Male,Bachelors,27,4,25982,60%,Married,West,Lack of Growth
212,XYZ2597,ABC212,1-Sep-10,Sales Executive,E1,Yes,Barrackpore,30 Oct 12,2 .1 ,Male,Bachelors,24,2,25218,71%,Single ,East,Issues with the Manager
213,XYZ3025,ABC213,12-Jan-12,Sales Executive,E1,Yes,Kasidih ,18 Oct 12,0. 9 ,Male,Bachelors,25,5,25907,63%,Married,East,Absconding
214,XYZ2922,ABC214,1-Jun-11,Sales Executive,E1,Yes,Danapur,26 Oct 12,1. 4 ,Male,Bachelors,26,2,25057,67%,Single ,East,Health Reasons
215,XYZ3170,ABC215,2-Jul-12,AM - Sales,M1,Yes,Sultanpur,20 Oct 12,0. 3 ,Male,Bachelors,39,4,53571,39%,Divorced,North,Issues with the Manager
216,XYZ3149,ABC216,1-Jun-12,Sales Executive,E1,Yes,Pondicherry,18 Oct 12,0. 4 ,Male,Bachelors,26,4,25882,51%,Divorced,South,Issues with the Manager
217,XYZ2334,ABC217,24-Feb-10,AM - Sales,M1,Yes,Velachery,14 Nov 12,2 .8 ,Male,Bachelors,34,4,50040,26%,Single ,South,More Challenging Job Roles/ Higher designation
218,XYZ0620,ABC218,24-Oct-06,Regional Manager,M3,Yes,HO,23 Oct 12,5 .11 ,Male,MBA,38,5,59615,25%,Divorced,HO,More Challenging Job Roles/ Higher designation
219,XYZ0112,ABC219,18-Dec-06,AM - Sales,M1,Yes,Admin Jharkhand,31 Oct 12,5 .10 ,Male,Bachelors,38,2,53682,46%,Single ,CENTRAL,More Challenging Job Roles/ Higher designation
220,XYZ1460,ABC220,15-Apr-08,Sr Sales Executive ,E2,Yes,Cuttack,15 Oct 12,4 .6 ,Male,Bachelors,31,2,31604,14%,Divorced,East,Issues with the Manager
221,XYZ1758,ABC221,4-Aug-08,Sr Sales Executive ,E2,Yes,Bally,15 Oct 12,4 .2 ,Male,Bachelors,30,4,35619,10%,Married,East,Issues with the Manager
222,XYZ1773,ABC222,14-Aug-08,Sales Executive,E1,Yes,Garia,13 Oct 12,4 .1 ,Female,Bachelors,26,4,25485,83%,Married,East,Issues with the Manager
223,XYZ2134,ABC223,25-Jun-09,Sales Executive,E1,Yes,Garia,17 Oct 12,3 .3 ,Male,Bachelors,24,3,25589,15%,Single ,East,Issues with the Manager
224,XYZ2320,ABC224,2-Feb-10,Sales Executive,E1,Yes,Barasat,15 Oct 12,2 .8 ,Male,Bachelors,27,2,25239,24%,Divorced,East,Issues with the Manager
225,XYZ2370,ABC225,8-Mar-10,Sr Sales Executive,E2,Yes,ZO Delhi,31 Oct 12,2 .7 ,Male,Bachelors,28,3,38196,84%,Married,North,Issues with the Manager
226,XYZ2381,ABC226,22-Mar-10,Sales Executive,E1,Yes,Bhubaneswar,20 Oct 12,2 .6 ,Male,Bachelors,26,5,25882,48%,Single ,East,Issues with the Manager
227,XYZ2644,ABC227,22-Sep-10,Sales Executive,E1,Yes,Balasore,15 Oct 12,2 .0 ,Male,Bachelors,24,4,26605,59%,Single ,East,Issues with the Manager
228,XYZ3079,ABC228,9-Mar-12,Technical Services Officer,M2,Yes,Daund,18 Sep 12,0. 6 ,Male,Bachelors,41,4,52249,63%,Single ,West,More Challenging Job Roles/ Higher designation
229,XYZ2771,ABC229,15-Feb-11,Technical Services Officer,M2,Yes,Trissur,30 Nov 12,1. 9 ,Male,Bachelors,37,4,55587,99%,Single ,South,Health Reasons
230,XYZ2529,ABC230,21-Jul-10,Sales Executive,E1,Yes,Gurubuxganj,15 Nov 12,2 .3 ,Male,Bachelors,27,4,25029,79%,Married,North,Lack of Growth
231,XYZ2098,ABC231,18-Mar-09,Sr Sales Executive,E2,Yes,Bhubaneswar,16 Nov 12,3 .7 ,Male,Bachelors,35,3,31807,18%,Single ,East,Issues with the Manager
232,XYZ1971,ABC232,12-May-08,Sr Sales Executive,E2,Yes,Puri,16 Nov 12,4 .6 ,Male,Bachelors,28,4,37270,18%,Married,East,Issues with the Manager
233,XYZ2610,ABC233,20-Dec-10,Sales Executive ,E1,Yes,Hinoo,16 Nov 12,1. 10 ,Male,Bachelors,24,3,26617,58%,Divorced,East,Issues with the Manager
234,XYZ3136,ABC234,14-May-12,Sales Executive,E1,Yes,Balasore ,6 Nov 12,0. 5 ,Male,Bachelors,28,2,25208,82%,Single ,East,Issues with the Manager
235,XYZ2686,ABC235,22-Nov-10,Sales Executive,E1,Yes,Anand,16 Nov 12,1. 11 ,Male,Bachelors,28,2,25273,93%,Single ,West,Issues with the Manager
236,XYZ2841,ABC236,7-Apr-11,Sales Executive ,E1,Yes,Coimbatore,2 Dec 12,1. 7 ,Male,Bachelors,26,4,26712,25%,Single ,South,Issues with the Manager
237,XYZ3027,ABC237,14-Jan-12,Sales Executive,E1,Yes,Coimbatore,22 Nov 12,0. 10 ,Male,Bachelors,25,5,26832,27%,Married,South,Issues with the Manager
238,XYZ3144,ABC238,21-May-12,Sales Executive,E1,Yes,Thrissur,6 Dec 12,0. 6 ,Male,Bachelors,25,5,26260,87%,Divorced,South,Issues with the Manager
239,XYZ3243,ABC239,8-Oct-12,Technical Services Officer,M2,Yes,Anand,15 Nov 12,0. 1 ,Male,Bachelors,39,4,54073,78%,Divorced,West,More Challenging Job Roles/ Higher designation
240,XYZ3187,ABC240,1-Aug-12,Sales Executive,E1,Yes,Shapura,20 Nov 12,0. 3 ,Male,Bachelors,27,5,26433,45%,Married,North,Issues with the Manager
241,XYZ3167,ABC241,27-Jun-12,Sales Executive,E1,Yes,Sultanpur,20 Nov 12,0. 4 ,Male,Bachelors,26,4,25136,100%,Divorced,North,Issues with the Manager
242,XYZ2739,ABC242,18-Dec-10,Sales Executive ,E1,Yes,Sultanpur,26 Nov 12,1. 11 ,Male,Bachelors,28,4,26150,82%,Married,North,Issues with the Manager
243,XYZ3179,ABC243,15-Jul-12,Sales Executive,E1,Yes,Vizag,6 Dec 12,0. 4 ,Female,Bachelors,27,4,25470,85%,Married,South,Issues with the Manager
244,XYZ1967,ABC244,5-Nov-08,Sales Executive,E1,Yes,HO Hyderabad,20 Nov 12,4 .0 ,Male,Bachelors,28,3,26512,29%,Divorced,HO,More Challenging Job Roles/ Higher designation
245,XYZ3145,ABC245,25-May-12,Sales Executive,E1,Yes,Alok Nagar,19 Sep 12,0. 3 ,Male,Bachelors,24,2,25924,23%,Single ,CENTRAL,Issues with the Manager
246,XYZ3160,ABC246,18-Jun-12,Sales Executive,E1,Yes,Gurukul,30 Nov 12,0. 5 ,Male,Bachelors,25,3,26137,49%,Single ,West,Issues with the Manager
247,XYZ3195,ABC247,21-Aug-12,Sr Sales Executive,E2,Yes,HO Hyderabad,6 Nov 12,0. 2 ,Male,Bachelors,28,4,38707,17%,Single ,HO,Issues with the Manager
248,XYZ3239,ABC248,4-Oct-12,Sr Sales Executive,E2,Yes,ZO Delhi,29 Oct 12,0. 0 ,Male,Bachelors,30,2,34902,96%,Divorced,North,Issues with the Manager
249,XYZ3254,ABC249,17-Oct-12, Sales Executive,E1,Yes,Loni,17 Oct 12,0. 0 ,Male,Bachelors,26,4,26027,67%,Married,North,Issues with the Manager
250,XYZ1414,ABC250,13-Mar-08,AM - Sales,M1,Yes,Madurai,19 Dec 12,4 .9 ,Male,Bachelors,35,4,51064,99%,Divorced,South,Better Salary
251,XYZ3148,ABC251,1-Jun-12,Technical Services Officer,M2,Yes,Trichy,5 Dec 12,0. 6 ,Male,Bachelors,35,2,54094,67%,Married,South,More Challenging Job Roles/ Higher designation
252,XYZ2553,ABC252,9-Aug-10,Sales Executive ,E1,Yes,Madurai - Thallakulam,13 Dec 12,2 .4 ,Male,Bachelors,28,5,26777,75%,Divorced,South,Better Salary
253,XYZ3086,ABC253,19-Mar-12,Sales Executive,E1,Yes,Vadodara,20 Dec 12,0. 9 ,Male,Bachelors,24,5,26853,32%,Married,West,Lack of Growth
254,XYZ0054,ABC254,4-Aug-12,AM - Sales,M1,Yes,HO,31 Dec 12,0. 4 ,Male,Bachelors,34,2,53811,14%,Single ,HO,More Challenging Job Roles/ Higher designation
255,XYZ2731,ABC255,23-Dec-10,Sales Executive,E1,Yes,HO,29 Dec 12,2 .0 ,Male,Bachelors,26,2,26100,77%,Single ,HO,Lack of Growth
256,XYZ3150,ABC256,9-Jun-12,Sales Executive,E1,Yes,Gurubuxganj,10 Dec 12,0. 6 ,Male,Bachelors,28,4,25546,15%,Married,North,Lack of Growth
257,XYZ3298,ABC257,3-Dec-12,Sales Executive,E1,Yes,Jalandhar,12 Dec 12,0. 0 ,Male,Bachelors,24,2,25724,26%,Married,North,Lack of Growth
258,XYZ2221,ABC258,20-Sep-09,Sales Executive,E1,Yes,Bandel,26 Dec 12,3 .3 ,Female,Bachelors,28,4,25765,10%,Divorced,East,Issues with the Manager
259,XYZ3193,ABC259,6-Aug-12,Sales Executive ,E1,Yes,Siliguri,28 Dec 12,0. 4 ,Male,Bachelors,28,3,25810,53%,Divorced,East,Lack of Growth
260,XYZ3028,ABC260,12-Jan-12,Sales Executive,E1,Yes,Salt Lake,2 Jan 13,0. 11 ,Male,Bachelors,26,4,26995,54%,Divorced,East,Issues with the Manager
261,XYZ2292,ABC261,11-Jan-10,Sales Executive,E1,Yes,Mithapur,21 Dec 12,2 .11 ,Male,Bachelors,27,2,26410,38%,Single ,East,Termination - Theft
262,XYZ3055,ABC262,22-Feb-12,Sales Executive,E1,Yes,Jhansi,12 Jan 13,0. 10 ,Male,Bachelors,26,4,25529,42%,Divorced,Central,Issues with the Manager
263,XYZ3230,ABC263,24-Sep-12,Sales Executive,E1,Yes,Badarpur,19 Dec 12,0. 2 ,Male,Bachelors,27,5,25950,66%,Single ,North,Termination - Theft
264,XYZ1864,ABC264,17-Oct-08,Sr Sales Executive ,E2,Yes,Vyara,31 Dec 12,4 .2 ,Male,Bachelors,31,2,35158,56%,Single ,West,Issues with the Manager
265,XYZ2314,ABC265,8-Feb-10,Regional Manager,M3,Yes,HO Hyderabad,20 Nov 12,2 .9 ,Male,MBA,39,2,54984,98%,Married,HO,More Challenging Job Roles/ Higher designation
266,XYZ2992,ABC266,14-Nov-11,Sales Executive,E1,Yes,Vizag,15 Dec 12,1. 1 ,Male,Bachelors,28,5,26305,76%,Divorced,South,Issues with the Manager
267,XYZ3103,ABC267,16-Apr-12,Sales Executive,E1,Yes,Kalyan,8 Oct 12,0. 5 ,Male,Bachelors,27,4,25410,53%,Divorced,West,Issues with the Manager
268,XYZ3219,ABC268,11-Sep-12,Sales Executive,E1,Yes,Loni,31 Jan 13,0. 4 ,Male,Bachelors,26,2,25234,78%,Married,North,Lack of Growth
269,XYZ3183,ABC269,25-Jul-12,Sales Executive,E1,Yes,Rohini,31 Jan 13,0. 6 ,Male,Bachelors,28,4,26042,7%,Single ,North,Issues with the Manager
270,XYZ3321,ABC270,27-Dec-12,AM - Sales,M1,Yes,HO,7 Jan 13,0. 0 ,Male,Bachelors,30,5,52708,60%,Divorced,HO,Issues with the Manager
271,XYZ3162,ABC271,21-Jun-12,Technical Services Officer,M2,Yes,Kodinar (Gondal Ext),27 Jan 13,0. 7 ,Male,Bachelors,37,2,55069,63%,Single ,West,Lack of Growth
272,XYZ3325,ABC272,2-Jan-13,Sales Executive,E1,Yes,PURI,10 Jan 13,0. 0 ,Male,Bachelors,27,3,25601,21%,Divorced,East,Issues with the Manager
273,XYZ3282,ABC273,28-Nov-12,Sales Executive,E1,Yes,Vizag,9 Jan 13,0. 1 ,Male,Bachelors,24,1,25048,77%,Married,South,Termination - Theft
274,XYZ3302,ABC274,5-Dec-12,Sales Executive,E1,Yes,Santhome,10 Jan 13,0. 1 ,Male,Bachelors,24,3,26777,78%,Married,South,Higher education
275,XYZ2036,ABC275,10-Dec-08,Sr Sales Executive ,E2,Yes,Mysore ,9 Feb 13,4 .1 ,Male,Bachelors,35,3,31765,0%,Single ,South,Better Salary
276,XYZ2652,ABC276,09-Oct-2010,Sales Executive,E1,Yes,Gondal,5 Feb 13,2 .3 ,Female,Bachelors,26,3,25636,26%,Single ,West,Issues with the Manager
277,XYZ2365,ABC277,08-Mar-2010, Sales Executive,E1,Yes,Gondal,31 Jan 13,2 .10 ,Male,Bachelors,27,5,26063,27%,Married,West,Issues with the Manager
278,XYZ2523,ABC278,21-Jul-2010,Sales Executive ,E1,Yes,Agra,25 Jan 13,2 .6 ,Male,Bachelors,26,2,26603,80%,Divorced,Central,Termination - Poor Performance
279,XYZ3275,ABC279,17-Nov-2012,Sales Executive,E1,Yes,Kasidih,23 Jan 13,0. 2 ,Male,Bachelors,24,5,25568,52%,Divorced,East,Termination - Poor Performance
280,XYZ1172,ABC280,17-Sep-2007,Sales Executive,E1,Yes,Vijaywada,1 Jan 13,5 .3 ,Male,Bachelors,24,1,26178,97%,Married,South,Lack of Growth
281,XYZ3272,ABC281,14-Nov-2012,Sales Executive,E1,Yes,Vijaywada,16 Jan 13,0. 2 ,Male,Bachelors,28,5,25910,28%,Divorced,South,Better Salary
282,XYZ3337,ABC282,09-Jan-2013,Sales Executive,E1,Yes,Vijaywada,19 Jan 13,0. 0 ,Male,Bachelors,24,5,25102,16%,Single ,South,Better Salary
283,XYZ3259,ABC283,22-Oct-2012,Sales Executive,E1,Yes,Badarpur,17 Jan 13,0. 2 ,Male,Bachelors,27,5,26623,70%,Married,North,Issues with the Manager
284,XYZ3270,ABC284,14-Nov-2012,Sales Executive,E1,Yes,Jalandhar,31 Jan 13,0. 2 ,Male,Bachelors,24,1,25168,81%,Single ,North,Issues with the Manager
285,XYZ2675,ABC285,10-Nov-10,Sales Executive,E1,Yes,Delhi,10 Jan 13,2 .2 ,Male,Bachelors,28,2,25658,80%,Married,North,More Challenging Job Roles/ Higher designation
286,XYZ2230,ABC286,9-Dec-09,Sales Executive,E1,Yes,Vijaywada,1 Jan 13,3 .0 ,Male,Bachelors,25,4,25440,92%,Divorced,South,Issues with the Manager
287,XYZ3088,ABC287,21-Mar-12,Sales Executive,E1,Yes,Vellore,31 Jan 13,0. 10 ,Male,Bachelors,27,5,25247,54%,Divorced,South,Health Reasons
288,XYZ2805,ABC288,1-Mar-11,Sales Executive,E1,Yes,Mysore,19 Feb 13,1. 11 ,Male,Bachelors,27,1,26830,68%,Divorced,South,Better Salary
289,XYZ2714,ABC289,2-Dec-10,Sales Executive,E1,Yes,Koyambedu,25 Feb 13,2 .2 ,Male,Bachelors,24,3,26216,85%,Single ,South,Better Salary
290,XYZ3341,ABC290,16-Jan-13,Sales Executive,E1,Yes,Cuttack,7 Feb 13,0. 0 ,Male,Bachelors,28,4,25497,85%,Single ,East,Issues with the Manager
291,XYZ3305,ABC291,6-Dec-12,Sales Executive,E1,Yes,Barrackpore,1 Feb 13,0. 1 ,Male,Bachelors,28,5,25037,17%,Married,East,Issues with the Manager
292,XYZ1757,ABC292,14-Aug-08,Sr Sales Executive,E2,Yes,Barrackpore,10 Feb 13,4 .5 ,Male,Bachelors,27,5,34390,48%,Married,East,Lack of Growth
293,XYZ3297,ABC293,1-Dec-12,Sales Executive,E1,Yes,Jaipur,5 Feb 13,0. 2 ,Male,Bachelors,28,3,25733,33%,Divorced,North,Termination - Poor Performance
294,XYZ3277,ABC294,27-Mar-10,Sales Executive,E1,Yes,Jaipur,21 Feb 13,2 .10 ,Male,Bachelors,24,4,26680,62%,Single ,North,Termination - Poor Performance
295,XYZ2144,ABC295,15-Jun-09,Sales Executive ,E1,Yes,Cuttack,9 Feb 13,3 .7 ,Male,Bachelors,25,2,26218,92%,Married,East,Issues with the Manager
296,XYZ3309,ABC296,10-Dec-12,Sales Executive,E1,Yes,bbsr,23 Feb 13,0. 2 ,Male,Bachelors,25,5,26786,12%,Married,East,Termination - Poor Performance
297,XYZ3359,ABC297,1-Feb-13,Sales Executive,E1,Yes,Siliguri,9 Feb 13,0. 0 ,Male,Bachelors,25,4,25123,48%,Divorced,East,Issues with the Manager
298,XYZ3240,ABC298,8-Oct-12,Technical Services Officer,M2,Yes,bbsr,23 Feb 13,0. 4 ,Male,Bachelors,44,4,52009,96%,Divorced,East,Termination - Poor Performance
299,XYZ2434,ABC299,17-May-10,Sales Executive,E1,Yes,Thallakulam,2 Mar 13,2 .9 ,Male,Bachelors,24,5,26474,82%,Married,South,Better Salary
